File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\birthday\Birthday.java,5418,2583,1824,1010,958,1935,1305,117,620,6,421,54,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\birthday\BirthdayManager.java,399,210,122,66,17,291,47,0,13,0,28,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\captcha\Captcha.java,2890,1256,1060,573,1349,858,326,45,152,0,143,13,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\captcha\CaptureManager.java,428,215,137,74,26,232,108,0,19,0,39,1,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\captcha\Tile.java,581,274,200,106,145,262,95,0,27,0,49,1,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\profile\BlockedUsers.java,231,123,70,38,8,160,34,0,8,1,19,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\profile\Profile.java,1429,718,456,254,179,727,242,36,141,1,90,12,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\profile\ProfileData.java,6165,2992,2021,1150,1129,2343,1427,18,582,40,596,29,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\runnable\BirthdayCheckHandler.java,512,257,165,89,91,320,38,0,26,0,35,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\runnable\ImageAdvertThread.java,430,225,133,72,42,276,45,0,24,7,34,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\runnable\LogoutThread.java,456,245,133,76,0,320,54,0,42,0,39,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\search\Reload.java,744,326,276,141,315,276,77,0,29,0,44,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\search\SearchManager.java,12833,5719,4574,2539,4581,2939,2848,180,1160,23,1025,75,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\backend\security\FileCipher.java,845,403,286,155,209,334,99,99,49,0,48,5,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\AchievementType.java,294,152,92,50,17,174,52,0,13,0,32,3,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\BugReportType.java,382,200,116,65,17,247,52,0,23,0,33,8,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\CardType.java,240,126,73,40,8,160,31,0,12,0,24,2,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\CodeType.java,127,74,34,18,0,101,7,0,0,7,11,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\ColorType.java,308,164,92,52,8,218,34,0,18,0,26,2,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\DateType.java,2638,1296,891,450,374,887,428,604,178,0,111,52,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\FilterType.java,910,416,321,172,265,334,183,0,42,0,77,6,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\FontType.java,223,117,68,38,8,145,31,0,10,0,24,1,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\GenderType.java,404,206,128,69,26,247,68,0,19,0,39,3,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\GenreType.java,934,473,293,168,151,567,84,0,69,0,49,12,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\LoginErrorType.java,127,74,34,18,0,101,7,0,0,7,11,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\LoginMessageType.java,446,242,129,74,8,334,31,0,34,1,25,9,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\ModeType.java,346,179,107,59,17,218,54,0,21,0,32,2,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\SizeType.java,663,343,206,113,35,378,124,0,38,2,62,20,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\SocialType.java,594,313,181,99,35,349,95,0,34,7,49,22,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\enums\StatusType.java,679,349,213,117,35,407,124,0,43,0,65,2,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\ClassInterface.java,248,138,70,40,0,189,25,0,12,7,14,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\InterfaceManager.java,365,196,108,61,8,247,54,0,14,7,33,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\login\confirm_login_page.java,3984,1931,1324,728,732,1731,784,45,324,0,339,26,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\login\confirm_password_reset_page.java,3640,1731,1240,668,838,1571,620,45,269,0,274,21,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\login\login_gui_page.java,6304,2941,2172,1190,1558,1935,1522,126,542,2,566,50,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\login\login_switch_page.java,1330,693,407,229,57,815,217,18,110,0,105,5,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\login\resetPasswordGUI.java,2739,1349,891,498,404,1106,634,81,239,0,247,26,
